Position,TrackName,Artist,Streams,URL,date,Region
19,Side To Side,Ariana Grande,1850372,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,1/4/17,global
20,Bad Things (with Camila Cabello),Machine Gun Kelly,1765071,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,1/4/17,global
21,Starving,Hailee Steinfeld,1713561,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,1/4/17,global
22,Mercy,Shawn Mendes,1705070,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,1/4/17,global
23,All We Know,The Chainsmokers,1616547,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,1/4/17,global
24,My Way,Calvin Harris,1517745,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,1/4/17,global
25,Heathens,Twenty One Pilots,1487556,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,1/4/17,global
26,Treat You Better,Shawn Mendes,1450273,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,1/4/17,global
27,Scars To Your Beautiful,Alessia Cara,1418113,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,1/4/17,global
28,All Night,The Vamps,1399632,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,1/4/17,global
29,Don't Let Me Down,The Chainsmokers,1399606,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,1/4/17,global
30,Love Me Now,John Legend,1359778,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,1/4/17,global
31,I Would Like,Zara Larsson,1330241,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6,1/4/17,global
32,Now and Later,Sage The Gemini,1326998,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,1/4/17,global
33,By Your Side,Jonas Blue,1310340,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,1/4/17,global
34,Shed a Light,Robin Schulz,1308269,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,1/4/17,global
35,Hear Me Now,Alok,1290648,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,1/4/17,global
36,The Mack,Nevada,1263287,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO,1/4/17,global
37,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's TROLLS"")""",Justin Timberlake,1224732,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,1/4/17,global
38,Reggaet�_n Lento (Bailemos),CNCO,1208203,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,1/4/17,global
39,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,1190610,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,1/4/17,global
40,Alone,Alan Walker,1182354,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,1/4/17,global
41,"How Far I'll Go - From Moana""""",Alessia Cara,1175262,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,1/4/17,global
42,Cheap Thrills,Sia,1161580,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,1/4/17,global
43,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1086882,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,1/4/17,global
44,Caroline,Amin�,1075120,https://open.spotify.com/track/5hTpBe8h35rJ67eAWHQsJx,1/4/17,global
45,Safari,J Balvin,1045751,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,1/4/17,global
